y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_nwet_frac,se_nwet_frac,p_nwet_frac,ci95_lo_nwet_frac,ci95_hi_nwet_frac,beta_p95share,se_p95share,p_p95share,ci95_lo_p95share,ci95_hi_p95share
logR_dry,11037,327,0.18617522614977222,True,GP+logP,-3.049928225039469,0.40701760868944203,6.713399868079385e-14,-3.847668079144392,-2.2521883709345456,1.5128570642809216,0.08266129323425386,7.9942195783438185e-75,1.3508439066262796,1.6748702219355636,no_dam,hydro,,,,,,,,,,
logR_wet,11046,327,0.24592221275856574,True,GP+logP,-2.021502631470474,0.3261447578873509,5.712122388941803e-10,-2.6607346106762177,-1.3822706522647306,1.4357446546464265,0.06143422969325842,8.542904341910758e-121,1.315335777029679,1.556153532263174,no_dam,hydro,,,,,,,,,,
logR,34530,1056,0.35471720007834384,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.7009814517399353,-1.1825970308543234,1.3533157130557558,0.03778099907220164,5.3915123024925526e-281,1.2792663155742994,1.4273651105372123,area_complete,hydro,,,,,,,,,,
logRP,34530,1056,0.12739983170966507,True,GP+logP,-1.4417892412971247,0.13224335369796636,1.1207664485502246e-27,-1.7009814517399304,-1.182597030854319,0.3533157130557565,0.03778099907220165,8.626859278962337e-21,0.27926631557430004,0.42736511053721293,area_complete,hydro,,,,,,,,,,
logR_dry,34461,1056,0.17149392125179086,True,GP+logP,-2.459970294156216,0.2192408269092587,3.237938283584188e-29,-2.889674418839143,-2.030266169473289,1.4490465948727917,0.05287388875230396,2.3446383517573105e-165,1.3454156771956984,1.552677512549885,area_complete,hydro,,,,,,,,,,
logR_wet,34520,1056,0.24891473400779163,True,GP+logP,-1.6401146727949745,0.16488232137620026,2.594219236255222e-23,-1.9632780843796858,-1.3169512612102632,1.2672064845298112,0.04132256847246192,1.6069788327880344e-206,1.1862157385750955,1.3481972304845269,area_complete,hydro,,,,,,,,,,
logR,34530,1056,0.35471720007834384,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.7009814517399353,-1.1825970308543234,1.3533157130557558,0.03778099907220164,5.3915123024925526e-281,1.2792663155742994,1.4273651105372123,GP_only,horse,,,,,,,,,,
logRP,34530,1056,0.12739983170966507,True,GP+logP,-1.4417892412971247,0.13224335369796636,1.1207664485502246e-27,-1.7009814517399304,-1.182597030854319,0.3533157130557565,0.03778099907220165,8.626859278962337e-21,0.27926631557430004,0.42736511053721293,GP_only,horse,,,,,,,,,,
logR,34530,1056,0.3544466916484481,True,nwet_frac+logP,,,,,,1.2932290086538236,0.04146858163840173,1.6623012250992562e-213,1.2119520821525973,1.37450593515505,nwet,horse,0.9930371575024177,0.09478569250046608,1.1058418162451856e-25,0.8072606139518159,1.1788137010530195,,,,,
logRP,34530,1056,0.12703402976750944,True,nwet_frac+logP,,,,,,0.29322900865382084,0.04146858163840169,1.5369639704092718e-12,0.21195208215259453,0.37450593515504715,nwet,horse,0.9930371575024212,0.094785692500466,1.10584181624467e-25,0.8072606139518195,1.1788137010530229,,,,,
logR,34530,1056,0.3534603101951833,True,p95share+logP,,,,,,1.3646232969412855,0.037017394285224776,1.720710401343149e-297,1.2920705373407262,1.4371760565418448,p95,horse,,,,,,-0.4738273442147298,0.05805299987144771,3.2958052756297366e-16,-0.5876091331572757,-0.36004555527218385
logRP,34530,1056,0.1257001702221725,True,p95share+logP,,,,,,0.36462329694128676,0.0370173942852248,6.850781623513277e-23,0.29207053734072735,0.43717605654184616,p95,horse,,,,,,-0.4738273442147256,0.05805299987144771,3.295805275631734e-16,-0.5876091331572715,-0.36004555527217974
logR,34530,1056,0.35477169291639543,True,GP+nwet_frac+logP,-1.05325772403647,0.335905811962961,0.0017151781319536246,-1.7116210176815572,-0.39489443039138283,1.3319661690481477,0.04509832745909057,1.032113811971079e-191,1.2435750714653364,1.420357266630959,GP_nwet,horse,0.31031696464157094,0.24013713940242704,0.1962709471052303,-0.1603431799376604,0.7809771092208022,,,,,
logRP,34530,1056,0.1274735210434894,True,GP+nwet_frac+logP,-1.053257724036484,0.33590581196296077,0.0017151781319533676,-1.7116210176815707,-0.39489443039139727,0.3319661690481488,0.045098327459090586,1.8261701706708656e-13,0.24357507146533747,0.4203572666309601,GP_nwet,horse,0.3103169646415575,0.240137139402427,0.1962709471052495,-0.16034317993767377,0.7809771092207888,,,,,
logR,34530,1056,0.3549230581088786,True,GP+p95share+logP,-2.170011562450747,0.33490413776452305,9.202669966699349e-11,-2.8264116107426527,-1.5136115141588413,1.3581393606822818,0.03716133985279074,1.9823698186038678e-292,1.285304472953559,1.4309742484110046,GP_p95,horse,,,,,,0.34222862629042927,0.14580033002416187,0.018912977481773972,0.05646523050901808,0.6279920220718405
logRP,34530,1056,0.12767820849595235,True,GP+p95share+logP,-2.170011562450745,0.33490413776452316,9.202669966699885e-11,-2.826411610742651,-1.5136115141588387,0.3581393606822813,0.037161339852790735,5.556813234548892e-22,0.2853044729535585,0.4309742484110041,GP_p95,horse,,,,,,0.34222862629043,0.145800330024162,0.018912977481773837,0.05646523050901853,0.6279920220718415
logR,34530,1056,0.3549249453162543,True,GP+nwet_frac+p95share+logP,-2.056994177605094,0.6346223671320054,0.0011899069585289573,-3.3008311609673804,-0.813157194242808,1.3535246568081682,0.044800279538100216,1.6271966191821108e-200,1.265717722416165,1.4413315912001714,all3,horse,0.06389626270673165,0.27912481069223904,0.8189338493834665,-0.48317831344161744,0.6109708388550807,0.3267126187095509,0.16861069950349675,0.05266297162149198,-0.00375827972540832,0.6571835171445101
logRP,34530,1056,0.12768076052038857,True,GP+nwet_frac+p95share+logP,-2.0569941776050653,0.6346223671320061,0.0011899069585291644,-3.300831160967353,-0.8131571942427775,0.35352465680816697,0.044800279538100216,2.994717761133526e-15,0.2657177224161638,0.4413315912001701,all3,horse,0.06389626270675056,0.2791248106922392,0.818933849383414,-0.4831783134415989,0.6109708388551,0.32671261870954477,0.16861069950349664,0.052662971621496225,-0.003758279725414204,0.6571835171445037
