y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,param,sample,family,reason,beta_logQ,se_logQ,p_logQ,ci95_lo_logQ,ci95_hi_logQ
logLoad_dry,1638,115.0,0.20619839250535743,True,GP+logP,-1.0379209487216043,1.5134274945268829,0.492834080209937,-4.004184331206985,1.928342433763776,1.6448088771894576,0.1857830563685515,8.49043540746453e-19,1.2806807777693219,2.008936976609593,TP,South_urb_lo,conflict_tp,,,,,,
logC_low,2746,144.0,0.09839601058566594,True,GP+logP,2.089078683397422,0.5634028300206755,0.00020893048695120068,0.984829427768956,3.193327939025888,0.20597454006961305,0.14712973136646548,0.16152773678615595,-0.08239443446371239,0.49434351460293846,TP,NE_dam,conflict_tp,,,,,,
logLoad_dry,2746,144.0,0.35398851386934516,True,GP+logP,1.9836753641536224,0.6499102072148232,0.0022714805776164726,0.7098747648276054,3.2574759634796395,1.3701038634578149,0.19094247821805616,7.205412456665334e-13,0.9958634830316011,1.7443442438840286,TP,NE_dam,conflict_tp,,,,,,
logC_low,411,23.0,0.12461658452500413,True,GP+logP,0.030256335859670275,1.4298597545144498,0.9831177416354427,-2.772217285931934,2.8327299576512748,-0.20662503368091897,0.5657112971548144,0.7149261406362504,-1.3153988017517915,0.9021487343899535,TP,NE_nodam,conflict_tp,,,,,,
logLoad_dry,411,23.0,0.3479854011015113,True,GP+logP,1.7686544878817656,2.336395323523145,0.4490490347292436,-2.810596199871407,6.3479051756349385,1.0253402797080662,0.8620284266130416,0.2342623763426257,-0.6642043901032244,2.714884949519357,TP,NE_nodam,conflict_tp,,,,,,
logC_low,2789,181.0,0.038177151386450614,True,GP+logP,0.590953640863006,0.9302100413564879,0.5252389412959746,-1.2322245382532246,2.4141318199792363,0.05366132587962097,0.08411711275895083,0.5235154084057193,-0.11120518561141732,0.21852783737065926,TP,South_dam,conflict_tp,,,,,,
logLoad_dry,2747,177.0,0.1750248438472508,True,GP+logP,-1.7876739412807907,1.292357518670262,0.16658338415786322,-4.320648133024055,0.7453002504624735,1.7559923935872492,0.15563876421858236,1.6015255722637304e-29,1.4509460211205065,2.0610387660539917,TP,South_dam,conflict_tp,,,,,,
logC_low,1343,87.0,0.053014344417292025,True,GP+logP,-0.6587208607603043,0.8504891480276362,0.43862334159881544,-2.3256489601366264,1.0082072386160175,-0.04063352181310742,0.09619283810327937,0.6727204309087952,-0.2291680200662272,0.14790097644001235,TP,South_nodam,conflict_tp,,,,,,
logLoad_dry,1290,83.0,0.206726963168118,True,GP+logP,-4.702619716207782,1.304025329912592,0.00031067370984534296,-7.258462397764424,-2.1467770346511403,1.8693871548027348,0.2432589128197703,1.5328017678279478e-14,1.392608446757616,2.3461658628478532,TP,South_nodam,conflict_tp,,,,,,
logC_low,2350,124.0,0.07076035703805028,True,GP+logP,1.6342432323913338,0.7147585286033726,0.022229287480125162,0.23334225868588132,3.0351442060967866,0.23718622232203077,0.1980663576427954,0.2311082680567933,-0.1510167052068779,0.6253891498509394,TP,NE_small,conflict_tp,,,,,,
logLoad_dry,2350,124.0,0.3232123717184987,True,GP+logP,1.5976696884870634,0.822541199222037,0.05209374520370602,-0.014481437788514517,3.209820814762641,1.441340571617563,0.23808874995193782,1.4147230521249097e-09,0.9746951965876023,1.9079859466475235,TP,NE_small,conflict_tp,,,,,,
logC_low,325,,,False,,,,,,,,,,,,TP,NE_large,conflict_tp,small,,,,,
logLoad_dry,325,,,False,,,,,,,,,,,,TP,NE_large,conflict_tp,small,,,,,
logC_low,2145,143.0,0.038885457928170664,True,GP+logP,-0.5513561027072482,0.9026336241644307,0.5413118325729429,-2.3204854973043956,1.217773291889899,0.1475724572041527,0.09940073030153664,0.13764412781872723,-0.04724939422383831,0.3423943086321437,TP,South_small,conflict_tp,,,,,,
logLoad_dry,2145,143.0,0.21723995940674234,True,GP+logP,-4.0837673304728845,1.4320967191973781,0.00434997701848168,-6.8906253224777165,-1.2769093384680525,2.066656028090992,0.22156440628414018,1.0833272883755159e-20,1.632397771518077,2.5009142846639065,TP,South_small,conflict_tp,,,,,,
